rank,bgg_url,game_id,name,min_players,max_players,avg_time,min_time,max_time,weight,year,age,avg_rating,geek_rating,num_votes,owned,designer
1088,https://boardgamegeek.com/boardgame/45986,45986,Stronghold,2,4,120,120,120,3.6743,2009,10,7.14015,6.54172,3459,5114,Ignacy Trzewiczek
1089,https://boardgamegeek.com/boardgame/97903,97903,Terror in Meeple City,2,4,45,45,45,1.4781,2013,8,6.8324,6.54133,7464,11621,"Antoine Bauza, Ludovic Maublanc"
1090,https://boardgamegeek.com/boardgame/1301,1301,Netrunner,2,2,45,45,45,2.9384,1996,10,7.43808,6.54121,2438,3377,Richard Garfield
1091,https://boardgamegeek.com/boardgame/16992,16992,Tsuro,2,8,20,15,20,1.2264,2005,8,6.66492,6.54112,27024,39827,Tom McMurchie
1092,https://boardgamegeek.com/boardgame/55427,55427,Mr. Jack in New York,2,2,30,30,30,2.5342,2009,14,7.19255,6.54054,3367,5261,"Bruno Cathala, Ludovic Maublanc"
1093,https://boardgamegeek.com/boardgame/233571,233571,Star Wars: Legion,2,2,180,120,180,3.4524,2018,14,8.02478,6.54016,1733,4660,"Alex Davy, Luke Eddy"
1094,https://boardgamegeek.com/boardgame/306481,306481,Tawantinsuyu: The Inca Empire,1,4,120,60,120,4.1061,2020,14,7.46212,6.54115,2299,5418,Dávid Turczi
1095,https://boardgamegeek.com/boardgame/91536,91536,Quarriors!,2,4,30,30,30,1.9699,2011,14,6.73913,6.53931,13698,17850,"Mike Elliott, Eric M. Lang"
1096,https://boardgamegeek.com/boardgame/299169,299169,Spicy,2,6,20,15,20,1.4014,2020,10,7.16671,6.53814,3653,7053,Győri Zoltán Gábor
1097,https://boardgamegeek.com/boardgame/1608,1608,Ambush!,1,1,240,180,240,3.2571,1983,12,7.50385,6.53738,2338,4976,"John H. Butterfield, Eric Lee Smith"
1098,https://boardgamegeek.com/boardgame/222514,222514,Batman: Gotham City Chronicles,2,4,90,60,90,3.7436,2019,14,7.6388,6.53545,2523,6136,Frédéric Henry
1099,https://boardgamegeek.com/boardgame/221,221,Ikusa,2,5,360,240,360,2.9516,1986,12,7.0261,6.53423,5141,8783,Michael Gray
1100,https://boardgamegeek.com/boardgame/18100,18100,China,3,5,45,45,45,2.2848,2005,12,6.98283,6.53353,4473,4508,Michael Schacht
1101,https://boardgamegeek.com/boardgame/261114,261114,Men at Work,2,5,45,30,45,1.0962,2019,8,7.24112,6.53349,2947,5038,Rita Modl
1102,https://boardgamegeek.com/boardgame/228855,228855,Set a Watch,1,4,80,45,80,2.3776,2019,13,7.25852,6.53292,3109,7039,"Mike Gnade, Todd Walsh"
1103,https://boardgamegeek.com/boardgame/230933,230933,Merlin,2,4,75,75,75,3.0894,2017,14,7.12526,6.53208,3518,5032,"Stefan Feld, Michael Rieneck"
1104,https://boardgamegeek.com/boardgame/300327,300327,The Castles of Tuscany,2,4,60,45,60,2.1954,2020,10,7.24897,6.53203,2892,5451,Stefan Feld
1105,https://boardgamegeek.com/boardgame/181796,181796,The Prodigals Club,2,5,100,40,100,3.2474,2015,14,7.29852,6.53116,2613,5109,Vladimír Suchý
1106,https://boardgamegeek.com/boardgame/252526,252526,Pictomania (Second Edition),3,6,40,20,40,1.4318,2018,8,7.59315,6.53033,1886,3823,Vlaada Chvátil
1107,https://boardgamegeek.com/boardgame/145639,145639,Coconuts,2,4,20,20,20,1.039,2013,6,7.03155,6.52978,4314,6696,Walter Schneider
